"Sl No","Stock","ROE Ann  %","PE TTM","LTP","Day SMA200","Piotroski Score","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","Market Cap","Latest Financial Result","PBV Adjusted","NSE Code","BSE Code","ISIN"
"1","Sumeet Industries","110.11","16.69","29.99","28.82","7","0.46","388.52","1578.45","2025-12-31","8.58","SUMEETINDS","514211","INE235C01036"
"2","Indosolar","85.92","7.66","454.2","285.82","8","0","350.15","1889.64","2026-03-31","7.71","WAAREEINDO","533257","INE866K01023"
"3","GE Power","64.1","11.76","531.05","357.29","8","0","218.48","3570.12","2025-12-31","7.79","GVPIL","532309","INE878A01011"
"4","Hindustan Zinc","61.12","17.98","588.5","520.68","9","0.36","33.6","248660.02","2026-03-31","14.12","HINDZINC","500188","INE267A01025"
"5","Websol Energy ","55.65","20.63","110.85","103.28","9","0.55","227.93","4678.57","2025-12-31","10.25","WEBELSOLAR","517498","INE855C01023"
"6","Indus Towers","30.56","14.88","402.2","399.87","7","0.07","64.54","106106.91","2025-12-31","2.8","INDUSTOWER","534816","INE121J01017"
"7","National Aluminium ","29.58","13.07","437.05","283.14","9","0.01","164.93","80269.99","2025-12-31","3.74","NATIONALUM","532234","INE139A01034"
"8","Chennai Petroleum","27.92","4.97","1035","848.42","7","0.18","1349.25","15412.33","2026-03-31","1.57","CHENNPETRO","500110","INE178A01016"
"9","Force Motors","26.39","19.6","20347","19173.02","9","0.01","106.33","26809.82","2025-12-31","6.86","FORCEMOT","500033","INE451A01017"
"10","Pokarna","24.1","24.58","903.15","885.66","8","0.42","114.68","2800.13","2025-12-31","3.37","POKARNA","532486","INE637C01025"
"11","Gokul Agro Resources","23.7","22.35","226.55","177.12","8","0.51","80.89","6685.19","2025-12-31","5.17","GOKULAGRO","539725","INE314T01033"
"12","Engineers India","21.72","17.6","242.89","203.52","7","0","30.21","13651.45","2025-12-31","4.53","ENGINERSIN","532178","INE510A01028"
"13","SRM Contractors","19.96","14.86","524.5","494.93","7","0.15","103.97","1203.42","2025-12-31","3.72","SRM","544158","INE0R6Z01013"
"14","FIEM Industries","19.73","23.52","2175","2122.71","9","0","23.67","5724.53","2025-12-31","5.01","FIEMIND","532768","INE737H01014"
"15","Pix Transmissions","18.93","18.49","1483.5","1443.58","7","0.06","36.02","2021.3","2025-12-31","3","PIXTRANS","500333","INE751B01018"
"16","Dynamic Cables","17.33","21.13","365.62","361.47","7","0.16","71.61","1771.74","2025-12-31","4.09","DYCL","540795","INE600Y01019"
"17","Jayaswal Neco Ind","16.29","20.08","95.78","70.52","8","0.74","311","9300.22","2026-03-31","3.51","JAYNECOIND","522285","INE854B01010"
"18","Jammu & Kashmir Bank","16.05","6.48","126.05","107.69","7","0.18","17.53","13880.41","2025-12-31","0.89","J&KBANK","532209","INE168A01041"
"19","Mayur Uniquoters","15.62","14.02","560.75","528.17","7","0.01","21.9","2436.6","2025-12-31","2.28","MAYURUNIQ","522249","INE040D01038"
"20","PTC","15.5","6.38","183.65","170.54","8","0.51","88.78","5436.19","2025-12-31","0.91","PTC","532524","INE877F01012"
"21","GPT Infraprojects","15.29","16.05","113.9","113.08","8","0.24","38.42","1439.29","2025-12-31","2.53","GPTINFRA","533761","INE390G01014"
"22","EPL","15.24","18.07","225.84","214.01","7","0.29","68.39","7232.53","2025-12-31","2.67","EPL","500135","INE255A01020"
